State,Population,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,4989797,0,12,1338,1271,3369,2070,532,43,275,22507,15873,1349,406,3399,3146,444,606,1950,3594,225,468,915,3065,499,4186,2380,0,64,1150,0,1965,1061,2085,2613,254,1702,851,416,1928,156,424,0,7418,10616,436,21,5382,1385,315,1477,0
Alaska,723949,517,0,977,0,3808,922,0,339,0,2163,1551,1316,503,417,218,0,452,1250,0,0,772,722,1024,179,0,0,867,9,535,276,15,1871,70,1396,0,12,929,337,345,0,141,221,449,3563,210,0,963,1840,0,110,89
Arizona,7202745,1485,3586,0,178,69432,10035,2705,1554,498,6748,3474,3249,6510,13018,6093,2399,1597,987,691,50,1463,1806,3642,10891,1890,2730,4728,2288,5437,75,2947,3818,6674,2856,3821,4089,741,7318,4989,242,2482,1638,2145,13312,8495,0,1835,21816,123,4788,1580
Arkansas,2990311,950,145,940,0,5600,4353,31,68,181,1655,708,250,0,2548,2041,1033,1548,797,2557,144,130,490,3475,1298,1535,6754,0,43,500,609,0,570,1352,724,0,1364,4828,143,1188,185,387,134,4115,16374,21,0,1030,1876,75,716,643
California,38833197,2710,3049,27449,2576,0,20353,5189,1012,4009,24692,9111,7544,2799,22546,3889,3435,3582,2010,3174,248,5860,15274,9419,6053,1821,5200,2049,2596,14826,1034,9063,3316,32723,9845,1143,9529,4505,20219,12156,1446,4148,2092,3405,33577,6111,778,16881,40456,707,6455,1338
Colorado,5757628,2192,3692,11880,171,33648,0,1773,643,2406,18661,6419,2679,1128,10241,1793,1136,3862,1940,4088,310,2261,6546,3947,4569,1191,6225,741,2350,3440,480,2895,5966,12611,7440,540,5514,3624,5642,3669,16,1848,1509,3235,29754,5767,0,6432,6608,105,3031,3413
Connecticut,3571470,0,0,661,38,6645,1181,0,488,393,6534,1255,37,353,789,888,490,169,282,825,134,1419,14556,254,1361,0,318,0,66,246,1947,6352,237,40790,2366,0,1181,47,96,3119,3421,1771,216,556,2073,451,393,1536,665,19,0,0
Delaware,994669,0,0,708,0,116,239,786,0,604,1650,130,70,0,212,201,0,0,142,15,0,7767,1037,451,90,6,424,0,6,96,29,4008,86,5958,341,0,148,21,0,12349,6,572,0,98,1300,0,0,2588,258,0,39,0
District of Columbia ,661026,342,196,674,37,3945,261,1102,3560,0,2581,1662,0,93,1736,159,145,503,202,324,1028,7754,2389,607,726,29,87,65,0,431,266,2709,0,3658,1330,0,1610,374,426,2237,366,196,0,663,1498,24,0,9003,1817,568,307,56
Florida,21590684,15159,2938,6607,4804,37464,18468,15801,4732,1917,0,44723,4179,1309,34061,17980,3735,3099,8385,5914,1483,16166,20586,24506,10156,4522,11010,1041,2009,9332,3079,36417,2765,91758,21207,3610,22443,3768,5937,29817,2784,8393,1282,18772,28243,7284,1499,29153,9611,3165,9909,1758
